Type,Indicator,Description,Info
SHA256,ad5002c8a4621efbd354d58a71427c157e4b2805cb86f434d724fc77068f1c40,Trojan.Exmatter,Fin7
SHA256,8c5b108eab6a397bed4c099f13eed52aeeec37cc214423bde07544b44a62e74a,Fidye.Noberus,Fin7
SHA256,78517fb07ee5292da627c234b26b555413a459f8d7a9641e4a9fcc1099f06a3d,InfoStealer.Eamfo,Fin7
SHA256,9aa1f37517458d635eae4f9b43cb4770880ea0ee171e7e4ad155bbdee0cbe732,InfoStealer.Eamfo,Fin7
SHA256,df492b4cc7f644ad3e795155926d1fc8ece7327c0c5c8ea45561f24f5110ce54,InfoStealer.Eamfo,Fin7
SHA256,029dde7c2ec880fb3d3e95e6a8376739b4bc46a0ce24012e064b904e6ecb672c,Fidye.Noberus,Fin7
SHA256,72f0981f18b969db2781e874d249d8003c07f99786e217f84cf54a148de259cc,Fidye.Noberus,Fin7
SHA256,18c909a2b8c5e16821d6ef908f56881aa0ecceeaccb5fa1e54995935fcfd12f7,GMER,Fin7
SHA256,e8a3e804a96c716a3e9b69195db6ffb0d33e2433af871e4d4e1eab3097237173,GMER,Fin7
SHA256,ed6275195cf9fd758fb7f8bce868c14dc9e9d6b7aa6f472f714bce5ed7fabf7f,Mask.PAExec,Fin7
SHA256,5799d554307906e92749a0c45f21baff28d83b1cedccbf7cb6f2b98ac1b00930,Mask.PAExec,Fin7
FileName,sync_enc.exe,Filename,Fin7
FileName,uncertified.exe,Filename,Fin7
FileName,vup.exe,Filename,Fin7
FileName,morph.exe,Filename,Fin7
FileName,cabinet.exe,Filename,Fin7
FileName,isgmer.exe,Filename,Fin7
FileName,kgeyauow.sys,Filename,Fin7
SHA1,05e9e0005fd38a0f168757637c1719d6303bfbac,FIN7 Powertrash,Fin7
SHA1,343f15cd30791d8d9809ac471bcd39eee0ae09e2,FIN7 Powertrash,Fin7
SHA1,671e195ad9c38bbb4985b8643f4de091c47cdde7,FIN7 Powertrash,Fin7
SHA1,83082e3843b132e0374f242da42138b35d964759,FIN7 Powertrash,Fin7
SHA1,86533fff7813bc140c89bd2ed09b8484afe7e4ac,FIN7 Powertrash,Fin7
SHA1,8f564864ac8d2b698367da377a32b6ecd2272631,FIN7 Powertrash,Fin7
SHA1,cb0da51272207aa98f44d51e79c17033f406cd6a,FIN7 Powertrash,Fin7
SHA1,fdc5636503862b3cdaa93a48332a4b7c782e2bdf,FIN7 Powertrash,Fin7
SHA1,0b4974c0d0802f6b8befae8d89abba4593756dfa,FIN7 Core Impact implant PIC,FIN7
SHA1,1693ec86bb6de6e0fe64f57484e1ce97bf373081,FIN7 Core Impact loader PIC,FIN7
SHA1,278b1ee17b057051179bb6302b099cdef3240c84,FIN7 Core Impact implant PIC,FIN7
SHA1,52e261a7cab837489dfcb8cd49aaf82ee287968c,FIN7 Core Impact loader PIC,FIN7
SHA1,7796f28213916157245b248566fa2a1d4811e66e,FIN7 Core Impact loader PIC,FIN7
SHA1,8857ba79fdefb97ac443a1f3d74b372d19db36a8,FIN7 Core Impact implant PIC,FIN7
SHA1,adb6c5607a28f6d60756116c7de91299a1137c83,FIN7 Core Impact loader PIC,FIN7
SHA1,F073749b1358017bf0a28f65693765ef6fd0157d,FIN7 Core Impact implant PIC,FIN7
SHA1,0aeab70affcab0f1e96c62c25dd41dc32d41e2ea,FIN7 Diceloader,FIN7
SHA1,19f71c7b000f43d6bcbe11234a0e586742b311d1,FIN7 Diceloader,FIN7
SHA1,9a6ca844409c6ba2db25a068de40ccad9c952f3a,FIN7 Diceloader,FIN7
SHA1,0e8fe5b9ff59102b42805342897dff1a8f1ae003,FIN7 SSH-based backdoor,FIN7
SHA1,425222ce8b1c6d6d4eacccb7da64ce6d6a6291ca,FIN7 SSH-based backdoor component,FIN7
SHA1,84f1fd6d0a9ff98c23287c02887811899af4adb7,FIN7 SSH-based backdoor,FIN7
SHA1,043f17d7a0f80ed8383ee251b8071c8c46a625eb,Powertrash,FIN7
SHA1,1300b157a1ee8f5ecde665a1aa1524facfed31c4,Powertrash,FIN7
SHA1,1345492b027142c803990ea77aea08dd57b6f304,Powertrash,FIN7
SHA1,19ca1aff37c058971c0880516e00654d1e3d27a1,Powertrash,FIN7
SHA1,307033dbf90d21522ee6b031856b3faee249ced9,Powertrash,FIN7
SHA1,32f3e4f9dfeebc4cf078db7b885151d8936504a6,Powertrash,FIN7
