Type,Indicator
URL,alkan.egnyte.com
URL,offtecportal.egnyte.com
URL,cnsmportal.egnyte.com
MD5,750308da76cbff35ee548f23439bc0d8
MD5,6780e3b13029ac58c96e3e59c0535d42
MD5,2690694b348358c9d1261db2e64ae5ef
MD5,29aa13acd46472b62cc0fbaa4c94062e
MD5,143b3ce57ee48c1e450d1f0124c3e876
SHA-1,05767ee7f3676baa402512ff44f0117a852ba5db
SHA-256,58238ea7f207a04fd2fcea45cabdab577a56f0657286d24be41e2e7d46bd0973
IP,91.235.234.202
IP,146.19.143.14
MD5,aded87fc07645e8fcecf622b3b1171d2
MD5,d783001d1f98fe3b33e7b97b0b7d96dc
MD5,b93b8a0a1d3779e68eda04622691609d
MD5,95c0055aa09646a27ac9864477ac9269
MD5,a46206daae98334e47e178bc718d9baf
MD5,a713e686fd984588a4db74f34bf32275
MD5,c17f4bb8e415e21e6010b98e13c6dff3
MD5,8d0bff13167e46249105942b77c36bfd
MD5,5b9b3397ab00095d1b50a8e6bd569a32
MD5,a24d25af9985c28cb0d93443cc899aa2
MD5,a50a20edddaded453410600549968914
SHA-1,91a7dcf2ff4af032a8de9b5bfc5b7d9
SHA-1,22e2261c6e65f3d95406e66c77d3942d51790417
SHA-256,e652634f90f23553d56fa937227c039f8769f9509051a434a14990785a8ab57f
URL,http://Digital.zip
SHA-1,8371f89711c08e03cf0b4dea6df013a5
SHA-1,4685043876dbb75bafd359fa4753c355126b2d3c
SHA-256,6322945428df5d119ef1064aabb93b89da2dbf7331ae62c2cb8f1d54cb4647f2
URL,http://investmentfund.zip
MD5,5fb378b050ea7f1265e9c284200648d0
SHA-1,bea3a7beab2b5ffed866c7c9f61ff7fd0dc093c2
SHA-256,f8eef03e1f49d377ba8d5a6afeb0272f3f39ec0f69a0eb492a9d308dd6b11ca0
IP,91.121.61.76
IP,109.201.140.103
IP,162.223.89.11
IP,164.132.237.65
IP,141.95.177.130
IP,91.121.240.108
IP,137.74.131.18
IP,137.74.131.20
IP,45.150.64.239
IP,95.164.46.35
IP,45.67.230.91
IP,94.131.109.65
IP,95.164.46.199
IP,185.248.144.158
IP,94.131.98.14
IP,45.150.64.23
IP,45.150.64.39
IP,95.164.38.99
MD5,34212eb9e2af84eceb6a8234d28751b6
MD5,55b99af81610eb65aabea796130a0462
MD5,3c6486dfb691fc6642f1d35bdf247b90
MD5,d7ca8f3b5e21ed56abf32ac7cb158a7e
MD5,d3a2dee3bb8fcd8e8a0d404e7d1e6efb
MD5,4a70b1e4cb57c99502d89cdbbed48343
MD5,f08aa714fd59b68924843cbfddac4b15
MD5,db0e68d7d81f5c21e6e458445fd6e34b
MD5,dbcc0e9c1c6c1fff790caa0b2ffc2fe5
MD5,e07adc4ee768126dc7c7339f4cb00120
MD5,feede05ba166a3c8668fe580a3399d8f
MD5,9894b84916f9264d897fe3b4a83bc608
MD5,9957250940377b39e405114f0a2fe84b
MD5,245c3ed373727c21ad9ee862b767e362
MD5,22971759adf816c6fb43104c0e1d89d6
MD5,5e0cc23a6406930a40696594021edb5f
MD5,79a638b2f2cc82bfe137f1d12534cda5
MD5,fc523904ca6e191eb2fdb254a6225577
MD5,b867ec1cef6b1618a21853fb8cafd6e1
MD5,57641ce5af4482038c9ea27afcc087ee
MD5,fe5f94e5df19d95df26aaf774daad9df

